2023-06-21,10:29:31,BE,statusResetBE,MM,MM,rudder,mainThruster,bow,_
2023-06-21,10:33:33,512,0,20,30,1500,1200,0,
2023-06-21,10:33:34,511,0,20,30,1450,1200,0,
2023-06-21,10:33:35,517,0,20,30,1450,1200,0,
2023-06-21,10:33:36,501,0,20,30,1450,1200,0,
2023-06-21,10:33:37,521,0,20,30,1500,1200,0,
2023-06-21,10:33:38,515,0,20,30,1450,1200,0,
2023-06-21,10:33:39,527,0,20,30,1450,1200,0,
2023-06-21,10:33:40,527,0,20,30,1450,1200,0,
2023-06-21,10:33:41,513,0,20,30,1421,1200,0,
2023-06-21,10:33:42,526,0,20,30,1426,1200,0,
2023-06-21,10:33:43,525,0,20,30,1427,1200,0,
2023-06-21,10:33:44,532,0,20,30,1450,1200,0,
2023-06-21,10:33:45,532,0,20,30,1452,1200,0,
2023-06-21,10:33:46,537,0,20,30,1450,1200,0,
2023-06-21,10:33:47,527,0,20,30,1450,1200,0,
2023-06-21,10:33:48,527,0,20,30,1450,1200,0,
2023-06-21,10:33:49,540,0,20,30,1500,1200,0,
2023-06-21,10:33:50,532,0,20,30,1500,1200,0,
2023-06-21,10:33:51,547,0,20,30,1500,1200,0,
2023-06-21,10:33:52,540,0,20,30,1500,1200,0,
2023-06-21,10:33:53,544,0,20,30,1500,1200,0,
2023-06-21,10:33:54,552,0,20,30,1500,1200,0,
2023-06-21,10:33:55,551,0,20,30,1500,1200,0,
2023-06-21,10:33:56,557,0,20,30,1500,1200,0,
2023-06-21,10:33:57,557,0,20,30,1500,1200,0,
2023-06-21,10:33:58,558,0,20,30,1500,1200,0,
2023-06-21,10:33:59,562,0,20,30,1450,1200,0,
2023-06-21,10:34:00,565,0,20,30,1450,1200,0,
2023-06-21,10:34:01,559,0,20,30,1450,1200,0,
2023-06-21,10:34:02,568,0,20,30,1450,1200,0,
2023-06-21,10:34:03,566,0,20,30,1450,1200,0,
2023-06-21,10:34:04,574,0,20,30,1450,1200,0,
2023-06-21,10:34:05,575,0,20,30,1450,1200,0,
2023-06-21,10:34:06,580,0,20,30,1450,1200,0,
2023-06-21,10:34:07,576,0,20,30,1500,1200,0,
2023-06-21,10:34:08,577,0,20,30,1500,1200,0,
2023-06-21,10:34:09,585,0,20,30,1500,1200,0,
2023-06-21,10:34:10,580,0,20,30,1500,1200,0,
2023-06-21,10:34:11,592,0,20,30,1500,1200,0,
2023-06-21,10:34:12,592,0,20,30,1500,1200,0,
2023-06-21,10:34:13,592,0,20,30,1500,1200,0,
2023-06-21,10:34:14,595,0,20,30,1450,1200,0,
2023-06-21,10:34:15,580,0,20,30,1450,1200,0,
2023-06-21,10:34:16,602,0,20,30,1450,1200,0,
2023-06-21,10:34:17,590,0,20,30,1424,1200,0,
2023-06-21,10:34:18,607,0,20,30,1417,1200,0,
2023-06-21,10:34:19,602,0,20,30,1421,1200,0,
2023-06-21,10:34:20,603,0,20,30,1430,1200,0,
2023-06-21,10:34:21,609,0,20,30,1441,1200,0,
2023-06-21,10:34:22,608,0,20,30,1454,1200,0,
2023-06-21,10:34:23,615,0,20,30,1450,1200,0,
2023-06-21,10:34:24,615,0,20,30,1450,1200,0,
2023-06-21,10:34:25,605,0,20,30,1450,1200,0,
2023-06-21,10:34:26,619,0,20,30,1450,1200,0,
2023-06-21,10:34:27,617,0,20,30,1500,1200,0,
2023-06-21,10:34:28,618,0,20,30,1500,1200,0,
2023-06-21,10:34:29,625,0,20,30,1500,1200,0,
2023-06-21,10:34:30,625,0,20,30,1550,1200,0,
2023-06-21,10:34:31,625,0,20,30,1550,1200,0,
2023-06-21,10:34:32,627,0,20,30,1550,1200,0,
2023-06-21,10:34:33,627,0,20,30,1550,1200,0,
2023-06-21,10:34:34,632,0,20,30,1550,1200,0,
2023-06-21,10:34:35,630,0,20,30,1550,1200,0,
2023-06-21,10:34:36,637,0,20,30,1550,1200,0,
2023-06-21,10:34:37,630,0,20,30,1550,1200,0,
2023-06-21,10:34:38,636,0,20,30,1550,1200,0,
2023-06-21,10:34:40,632,0,20,30,1550,1200,0,
2023-06-21,10:34:41,642,0,20,30,1500,1200,0,
2023-06-21,10:34:42,642,0,20,30,1500,1200,0,
2023-06-21,10:34:43,647,0,20,30,1500,1200,0,
2023-06-21,10:34:44,647,0,20,30,1450,1200,0,
2023-06-21,10:34:45,642,0,20,30,1450,1200,0,
2023-06-21,10:34:46,649,0,20,30,1443,1200,0,
2023-06-21,10:34:47,651,0,20,30,1439,1200,0,
2023-06-21,10:34:48,644,0,20,30,1451,1200,0,
2023-06-21,10:34:49,657,0,20,30,1450,1200,0,
2023-06-21,10:34:50,657,0,20,30,1450,1200,0,
2023-06-21,10:34:51,653,0,20,30,1450,1200,0,
2023-06-21,10:34:52,662,0,20,30,1450,1200,0,
2023-06-21,10:34:53,644,0,20,30,1450,1200,0,
2023-06-21,10:34:54,660,0,20,30,1450,1200,0,
2023-06-21,10:34:55,657,0,20,30,1500,1200,0,
2023-06-21,10:34:56,667,0,20,30,1500,1200,0,
2023-06-21,10:34:57,667,0,20,30,1500,1200,0,
2023-06-21,10:34:58,666,0,20,30,1500,1200,0,
2023-06-21,10:34:59,658,0,20,30,1500,1200,0,
2023-06-21,10:35:00,671,0,20,30,1500,1200,0,
2023-06-21,10:35:01,672,0,20,30,1500,1200,0,
2023-06-21,10:35:02,674,0,20,30,1500,1200,0,
2023-06-21,10:35:03,673,0,20,30,1450,1200,0,
2023-06-21,10:35:04,675,0,20,30,1450,1200,0,
2023-06-21,10:35:05,670,0,20,30,1450,1200,0,
2023-06-21,10:35:06,682,0,20,30,1450,1200,0,
2023-06-21,10:35:07,682,0,20,30,1450,1200,0,
2023-06-21,10:35:08,686,0,20,30,1450,1200,0,
2023-06-21,10:35:09,687,0,20,30,1450,1200,0,
2023-06-21,10:35:10,686,0,20,30,1450,1200,0,
2023-06-21,10:35:11,687,0,20,30,1450,1200,0,
2023-06-21,10:35:12,688,0,20,30,1450,1200,0,
2023-06-21,10:35:13,681,0,20,30,1450,1200,0,
2023-06-21,10:35:14,695,0,20,30,1500,1200,0,
2023-06-21,10:35:15,695,0,20,30,1500,1200,0,
2023-06-21,10:35:16,700,0,20,30,1500,1200,0,
2023-06-21,10:35:17,698,0,20,30,1500,1200,0,
2023-06-21,10:35:18,695,0,20,30,1500,1200,0,
2023-06-21,10:35:19,700,0,20,30,1500,1200,0,
2023-06-21,10:35:20,700,0,20,30,1500,1200,0,
2023-06-21,10:35:21,700,0,20,30,1500,1200,0,
2023-06-21,10:35:22,700,0,20,30,1500,1200,0,
2023-06-21,10:35:23,700,0,20,30,1450,1200,0,
2023-06-21,10:35:24,700,0,20,30,1450,1200,0,
2023-06-21,10:35:25,700,0,20,30,1450,1200,0,
2023-06-21,10:35:26,700,0,20,30,1442,1200,0,
2023-06-21,10:35:27,700,0,20,30,1416,1200,0,
2023-06-21,10:35:28,697,0,20,30,1436,1200,0,
2023-06-21,10:35:29,689,0,20,30,1432,1200,0,
2023-06-21,10:35:30,700,0,20,30,1444,1200,0,
2023-06-21,10:35:31,696,0,20,30,1439,1200,0,
2023-06-21,10:35:32,700,0,20,30,1450,1200,0,
2023-06-21,10:35:33,700,0,20,30,1450,1200,0,
2023-06-21,10:35:34,700,0,20,30,1450,1200,0,
2023-06-21,10:35:35,700,0,20,30,1450,1200,0,
2023-06-21,10:35:36,692,0,20,30,1500,1200,0,
2023-06-21,10:35:37,698,0,20,30,1500,1200,0,
2023-06-21,10:35:38,700,0,20,30,1500,1200,0,
2023-06-21,10:35:39,700,0,20,30,1500,1200,0,
2023-06-21,10:35:40,700,0,20,30,1500,1200,0,
2023-06-21,10:35:41,700,0,20,30,1500,1200,0,
2023-06-21,10:35:42,700,0,20,30,1500,1200,0,
2023-06-21,10:35:43,700,0,20,30,1500,1200,0,
2023-06-21,10:35:44,700,0,20,30,1500,1200,0,
2023-06-21,10:35:45,700,0,20,30,1450,1200,0,
2023-06-21,10:35:46,700,0,20,30,1383,1200,0,
2023-06-21,10:35:47,700,0,20,30,1358,1200,0,
2023-06-21,10:35:48,700,0,20,30,1372,1200,0,
2023-06-21,10:35:49,700,0,20,30,1391,1200,0,
2023-06-21,10:35:50,700,0,20,30,1426,1200,0,
2023-06-21,10:35:51,700,0,20,30,1429,1200,0,
2023-06-21,10:35:52,700,0,20,30,1436,1200,0,
2023-06-21,10:35:53,700,0,20,30,1450,1200,0,
2023-06-21,10:35:54,700,0,20,30,1450,1200,0,
2023-06-21,10:35:55,687,0,20,30,1450,1200,0,
2023-06-21,10:35:56,692,0,20,30,1500,1200,0,
2023-06-21,10:35:57,680,0,20,30,1500,1200,0,
2023-06-21,10:35:58,680,0,20,30,1500,1200,0,
2023-06-21,10:35:59,672,0,20,30,1500,1200,0,
2023-06-21,10:36:00,672,0,20,30,1500,1200,0,
2023-06-21,10:36:01,665,0,20,30,1500,1200,0,
2023-06-21,10:36:02,665,0,20,30,1500,1200,0,
2023-06-21,10:36:03,657,0,20,30,1450,1200,0,
2023-06-21,10:36:04,657,0,20,30,1450,1200,0,
2023-06-21,10:36:05,650,0,20,30,1432,1200,0,
2023-06-21,10:36:06,650,0,20,30,1431,1200,0,
2023-06-21,10:36:08,642,0,20,30,1429,1200,0,
2023-06-21,10:36:09,642,0,20,30,1419,1200,0,
2023-06-21,10:36:10,635,0,21,30,1440,1200,0,
2023-06-21,10:36:11,635,0,21,30,1450,1200,0,
2023-06-21,10:36:12,647,0,21,30,1450,1200,0,
2023-06-21,10:36:13,647,0,21,30,1450,1200,0,
2023-06-21,10:36:14,652,0,21,30,1500,1200,0,
2023-06-21,10:36:15,652,0,21,30,1500,1200,0,
2023-06-21,10:36:16,657,0,22,30,1500,1200,0,
2023-06-21,10:36:17,657,0,22,30,1500,1200,0,
2023-06-21,10:36:18,662,0,22,30,1500,1200,0,
2023-06-21,10:36:19,656,0,22,30,1500,1200,0,
2023-06-21,10:36:20,659,0,22,30,1500,1200,0,
2023-06-21,10:36:21,660,0,22,30,1500,1200,0,
2023-06-21,10:36:22,653,0,23,30,1450,1200,0,
2023-06-21,10:36:23,657,0,23,30,1450,1200,0,
2023-06-21,10:36:24,657,0,23,30,1450,1200,0,
2023-06-21,10:36:25,658,0,23,30,1450,1200,0,
2023-06-21,10:36:26,667,0,23,30,1500,1200,0,
2023-06-21,10:36:27,663,0,24,30,1500,1200,0,
2023-06-21,10:36:28,672,0,24,30,1500,1200,0,
2023-06-21,10:36:29,672,0,24,30,1500,1200,0,
2023-06-21,10:36:30,677,0,24,30,1500,1200,0,
2023-06-21,10:36:31,677,0,24,30,1500,1200,0,
2023-06-21,10:36:32,682,0,24,30,1500,1200,0,
2023-06-21,10:36:33,682,0,25,30,1500,1200,0,
2023-06-21,10:36:34,687,0,25,30,1500,1200,0,
2023-06-21,10:36:35,683,0,25,30,1450,1200,0,
2023-06-21,10:36:36,692,0,25,30,1450,1200,0,
2023-06-21,10:36:37,691,0,25,30,1450,1200,0,
2023-06-21,10:36:38,692,0,25,30,1450,1200,0,
2023-06-21,10:36:39,697,0,25,30,1426,1200,0,
2023-06-21,10:36:40,697,0,25,30,1398,1200,0,
2023-06-21,10:36:41,700,0,25,30,1400,1200,0,
2023-06-21,10:36:42,700,0,25,30,1408,1200,0,
2023-06-21,10:36:43,700,0,25,30,1421,1200,0,
2023-06-21,10:36:44,700,0,25,30,1445,1200,0,
2023-06-21,10:36:45,700,0,25,30,1462,1200,0,
2023-06-21,10:36:46,700,0,25,30,1450,1200,0,
2023-06-21,10:36:47,700,0,25,30,1450,1200,0,
2023-06-21,10:36:48,700,0,25,30,1450,1200,0,
2023-06-21,10:36:49,700,0,25,30,1450,1200,0,
2023-06-21,10:36:50,700,0,25,30,1450,1200,0,
2023-06-21,10:36:51,700,0,25,30,1450,1200,0,
2023-06-21,10:36:52,697,0,25,30,1450,1200,0,
2023-06-21,10:36:53,700,0,25,30,1450,1200,0,
2023-06-21,10:36:54,698,0,25,30,1450,1200,0,
2023-06-21,10:36:55,692,0,26,30,1450,1200,0,
2023-06-21,10:36:56,700,0,26,30,1450,1200,0,
2023-06-21,10:36:57,685,0,26,30,1450,1200,0,
2023-06-21,10:36:58,697,0,26,30,1500,1200,0,
2023-06-21,10:36:59,685,0,26,30,1500,1200,0,
2023-06-21,10:37:00,691,0,26,30,1500,1200,0,
2023-06-21,10:37:01,695,0,27,30,1500,1200,0,
2023-06-21,10:37:02,692,0,27,30,1500,1200,0,
2023-06-21,10:37:03,700,0,27,30,1500,1200,0,
2023-06-21,10:37:04,695,0,27,30,1500,1200,0,
2023-06-21,10:37:05,700,0,27,30,1500,1200,0,
2023-06-21,10:37:06,700,0,27,30,1500,1200,0,
2023-06-21,10:37:07,700,0,28,30,1500,1200,0,
2023-06-21,10:37:08,700,0,28,30,1550,1200,0,
2023-06-21,10:37:09,700,0,28,30,1500,1200,0,
2023-06-21,10:37:10,700,0,27,30,1500,1200,0,
2023-06-21,10:37:11,700,0,27,30,1500,1200,0,
2023-06-21,10:37:12,700,0,27,30,1500,1200,0,
2023-06-21,10:37:13,700,0,27,30,1500,1200,0,
2023-06-21,10:37:14,700,0,26,30,1500,1200,0,
2023-06-21,10:37:15,700,0,26,30,1500,1200,0,
